name,code,lat,lon,o3,no,no2,nox,co,pm10,pm25,nox_mi
Cubatão-Vale do Mogi,119,-23.8315890081254,-46.3695687908739,NA,NA,NA,NA,NA,NA,NA,NA
Diadema,92,-23.6858764117137,-46.6116219323751,11.4868067625217,NA,NA,NA,NA,27.514164305949,NA,NA
Grajaú-Parelheiros,98,-23.776265984399,-46.6969610783657,-11.6633096285335,NA,NA,NA,47.9218761839812,28.508166488134,40.3117216858669,NA
Guaratinguetá,289,-22.8019171385919,-45.1911223603662,-1.76088971269694,30.8641975308642,11.4124293785311,12.2743682310469,NA,10.8818011257036,NA,13.0434782608696
Guarulhos,118,-23.4632093829649,-46.4962135994365,NA,NA,NA,NA,NA,NA,NA,NA
Guarulhos-Paço Municipal,264,-23.4555342581023,-46.5185334030574,27.7657627682582,NA,NA,NA,NA,28.0736478711162,33.9080459770115,NA
Guarulhos-Pimentas,279,-23.4401170078091,-46.4099487710006,13.4988584474886,-21.3250517598344,23.9095315024233,11.1030478955007,19.3798449612403,6.83913172762415,16.0245901639344,14.5726495726496
Ibirapuera,83,-23.5918419901379,-46.6606875025418,-23.8858970941082,-52.6251526251526,-11.0021452650935,-13.8186198588883,7.64331210191083,NA,35.1410978300241,-14.2156862745098
Interlagos,262,-23.6805076511499,-46.6750431583082,5.63207418519024,NA,NA,NA,NA,33.4439528023599,NA,NA
Itaim Paulista,266,-23.5015473609702,-46.4207368394923,19.7856875824939,-26.4464701170907,44.0621627704328,33.7164588697656,NA,31.2482853223594,40.2418767146776,35.503355704698
Itaquera,97,-23.5800148313619,-46.4666514114578,NA,NA,NA,NA,NA,NA,NA,NA
Jacareí,259,-23.2941992435412,-45.9682338642508,-4.75159036802871,NA,NA,NA,NA,14.0975987606507,NA,NA
Jaú,110,-22.2986196635248,-48.5674574048007,3.32683741648108,10.1762241802687,26.8466243791176,22.5812509027878,NA,6.87403993855606,NA,24.9222560340156
Jundiaí,109,-23.192003743039,-46.8970972725384,101.497580510596,656.346153846154,110.279430514237,138.801476301476,NA,31.3368565276962,40.8057179987005,124.958643507031
Limeira,281,-22.5636037767457,-47.4143140341751,4.56149791867809,24.7975942632431,7.34395829602659,9.26163038839096,NA,82.3082577799559,14.3037853955314,8.72632003224508
Marg.Tietê-Pte Remédios,270,-23.5187058310122,-46.7433200408467,NA,92.7401531894281,45.0970277200382,66.1525486952432,61.4084113455358,30.5827566697132,36.4163056526959,61.0026278552658
Marília,111,-22.1998094871228,-49.9599697461499,11.6197183098591,-21.9047619047619,28.2325029655991,19.3370165745856,NA,8.24044585987262,NA,22.6793248945148
Mauá,65,-23.6685489997822,-46.4660002742069,0.64619402670711,NA,NA,NA,NA,44.7801545867516,72.5463145447379,NA
Mogi das Cruzes,287,-23.518172230148,-46.1868605711067,NA,NA,NA,NA,NA,NA,NA,NA
Mooca,85,-23.5497340450694,-46.6004166453369,-0.10279205445201,NA,NA,NA,40.82257530619,NA,41.9139465875371,NA
N.Senhora do Ó,96,-23.4800987059504,-46.6920519221288,NA,NA,NA,NA,NA,NA,NA,NA
Osasco,120,-23.5267214190038,-46.7920776611899,NA,11.1467250995087,-6.94520450165364,0.956205595201061,10.4891760904685,18.4587465163005,37.1302706104468,-0.831979520504106
Parque D.Pedro II,72,-23.5448456586808,-46.6276755923666,11.7448879630091,-19.9845092869804,25.3099403627725,15.671484431357,78.4172661870504,11.5609459818548,-23.4506767503976,18.8569900710243
Paulínia,117,-22.772321379337,-47.1548428657284,12.1404735420308,94.578313253012,35.2444176222088,43.9408866995074,NA,55.8833619210978,NA,40.6472846955568
Paulínia Sul,112,-22.7868064343791,-47.1365588816311,NA,NA,NA,NA,NA,NA,NA,NA
Pico do Jaraguá,284,-23.4562688997476,-46.7660977590058,-8.69965550634218,-63.5714285714286,-10.1428571428572,-20.0549450549451,NA,NA,19.802063440589,-17.1642631816133
